"id";"parent_id:id";"code";"name";"type";;;;"le";"description"
"kp_rrif_0234";"kp_rrif_023";"0234";"Zgrade montažne, barake, mostovi, drvene konstrukcije i sl.";"view";4;;;59;
"kp_rrif_0235";"kp_rrif_023";"0235";"Ograde, izlozi, potporni zidovi -brane, športski tereni,šatori,žièare i sl.";"view";4;;;75;"Ograde (betonske, kamene, metalne i sl.), izlozi, potporni zidovi - brane, športski tereni, šatori, žièare i sl."
"kp_rrif_0236";"kp_rrif_023";"0236";"Putovi, parkirališta, staze i dr. graðevine (rampe i sl.), nadvožnjaci i dr. bet. ili met. konstruk.";"view";4;;;100;"Putovi, parkirališta, staze i dr. graðevine (rampe i sl.), nadvožnjaci i dr. betonske ili metalne konstrukcije"
"kp_rrif_0237";"kp_rrif_023";"0237";"Cjevovodi, vodospremnici, utvrðene obale, kanali, kanalizacija, dalekovodi";"view";4;;;74;
"kp_rrif_0238";"kp_rrif_023";"0238";"Objekti poljoprivrede i ribarstva";"view";4;;;33;
"kp_rrif_0239";"kp_rrif_023";"0239";"Ostali nespomenuti graðevinski objekti (rudnici, brane) i objekti izvan uporabe";"view";4;;;79;
"kp_rrif_024";"kp_rrif_02";"024";"Stanovi za vlastite zaposlenike";"view";3;;;31;
"kp_rrif_026";"kp_rrif_02";"026";"Predujmovi za nabavu nekretnina";"view";3;;;31;
"kp_rrif_0260";"kp_rrif_026";"0260";"Predujmovi za nabavu zemljišta";"view";4;;;30;
"kp_rrif_0261";"kp_rrif_026";"0261";"Predujmovi za graðevine u nabavi";"view";4;;;32;
"kp_rrif_027";"kp_rrif_02";"027";"Nekretnine u pripremi";"view";3;;;21;
"kp_rrif_0270";"kp_rrif_027";"0270";"Zemljišta u pripremi";"view";4;;;20;
"kp_rrif_0271";"kp_rrif_027";"0271";"Graðevine u pripremi";"view";4;;;20;
"kp_rrif_028";"kp_rrif_02";"028";"Vrijednosno usklaðenje nekretnina";"view";3;;;33;
"kp_rrif_0280";"kp_rrif_028";"0280";"Vrijednosno usklaðenje zemljišta";"view";4;;;32;
"kp_rrif_0281";"kp_rrif_028";"0281";"Vrijednosno usklaðenje graðevina";"view";4;;;32;
"kp_rrif_029";"kp_rrif_02";"029";"Akumulirana amortizacija graðevina";"view";3;;;34;
"kp_rrif_0290";"kp_rrif_029";"0290";"Akumulirana amortizacija graðevina (analitika prema pojedinim graðevinama)";"view";4;;;74;
"kp_rrif_0291";"kp_rrif_029";"0291";"Akumulirana amortizacija odlagališta otpada, kamenoloma i sl. (MRS 16. t. 58.)";"view";4;;;78;
"kp_rrif_03";"kp_rrif_0";"03";"POSTROJENJA, OPREMA, ALATI, INVENTAR I TRANSPORTNA SREDSTVA";"view";2;;;59;
"kp_rrif_030";"kp_rrif_03";"030";"Postrojenja";"view";3;;;11;
"kp_rrif_0300";"kp_rrif_030";"0300";"Tehnièka postrojenja, ureðaji, spremnici, pogonski motori, platforme i dr.";"view";4;;;74;
"kp_rrif_0301";"kp_rrif_030";"0301";"Strojevi i alati u svezi sa strojevima u pogonima i radionicama za obradu i preradu";"view";4;;;83;
