"code","name","note"
"192","Unaprijed plaćeni ovisni troškovi nabave (koji nisu na 651)","Unaprijed plaćeni ovisni troškovi nabave (koji nisu na 651)"
"193","Troškovi kamata iz budućeg razdoblja","Troškovi kamata iz budućeg razdoblja"
"194","Unaprijed plaćeni troškovi koncesija (za razdoblje do 12 mj.)","Unaprijed plaćeni troškovi koncesija (za razdoblje do 12 mj.)"
"195","Unaprijed plaćene franšize, trgovačko znakovlje, prava i sl. (do 12 mj.)","Unaprijed plaćene franšize, trgovačko znakovlje, prava i sl. (do 12 mj.)"
"196","Unaprijed plaćene licencije i patenti (do 12 mj.)","Unaprijed plaćene licencije i patenti (do 12 mj.)"
"199","Ostali plaćeni troškovi budućeg razdoblja","Ostali plaćeni troškovi budućeg razdoblja"
"1999","Ostala aktivna vremenska razgraničenja","Ostala aktivna vremenska razgraničenja"
"2","KRATKOROČNE I DUGOROČNE OBVEZE, DUGOROČNA REZERVIRANJA, ODGOĐENA PLAĆANJA I PRIHODI BUDUĆEG RAZDOBLJA","KRATKOROČNE I DUGOROČNE OBVEZE, DUGOROČNA REZERVIRANJA, ODGOĐENA PLAĆANJA I PRIHODI BUDUĆEG RAZDOBLJA"
"20","KRATKOROČNE OBVEZE PREMA POVEZANIM PODUZETNICIMA I S OSNOVE UDJELA U REZULTATU (do jedne godine)","KRATKOROČNE OBVEZE PREMA POVEZANIM PODUZETNICIMA I S OSNOVE UDJELA U REZULTATU (do jedne godine)"
"200","Obveze prema povezanim poduzetnicima","Obveze prema povezanim poduzetnicima"
"2000","Obveze prema povezanim društvima za preuzete zalihe (poluproizvoda, robe i sl.)","Obveze prema povezanim društvima za preuzete zalihe (poluproizvoda, robe i sl.)"
"2001","Obveze za raspoređeni dobitak iz poslovanja prema povezanim društvima","Obveze za raspoređeni dobitak iz poslovanja prema povezanim društvima"
"2002","Obveze za zajmove prema povezanim društvima","Obveze za zajmove prema povezanim društvima"
"2003","Obveze prema podružnicama","Obveze prema podružnicama"
"2004","Obveze prema osnovanim ustanovama, zadrugama i sl.","Obveze prema osnovanim ustanovama, zadrugama i sl."
"2005","Obveze za predujmove od povezanih društvima","Obveze za predujmove od povezanih društvima"
"2008","Obveze za kamate prema povezanim društvima","Obveze za kamate prema povezanim društvima"
"2009","Ostale kratkoročne obveze prema povezanim društvima","Ostale kratkoročne obveze prema povezanim društvima"
"201","Obveze s osnove udjela u rezultatu","Obveze s osnove udjela u rezultatu"
"2010","Obveze s osnove udjela u dobitku (analitika prema članovima)","Obveze s osnove udjela u dobitku (analitika prema članovima)"
"2011","Obveze za dividende dioničarima","Obveze za dividende dioničarima"
"2012","Obveze za sudjelujuće dobitke u rezultatu iz zajedničkog pothvata","Obveze za sudjelujuće dobitke u rezultatu iz zajedničkog pothvata"
"2013","Obveze prema zadrugarima iz rezultata","Obveze prema zadrugarima iz rezultata"
"2014","Obveze iz dobitka prema tajnim članovima","Obveze iz dobitka prema tajnim članovima"
"2015","Ostale obveze s osnove udjela u dobitku","Ostale obveze s osnove udjela u dobitku"
"21","KRATKOROČNE FINANCIJSKE OBVEZE","KRATKOROČNE FINANCIJSKE OBVEZE"
"210","Obveze za izdane čekove","Obveze za izdane čekove"
"211","Obveze za izdane mjenice","Obveze za izdane mjenice"
"2110","Obveze za dane mjenice","Obveze za dane mjenice"
"2111","Obveze za dane mjenične akcepte","Obveze za dane mjenične akcepte"
"212","Obveze po izdanim vrijednosnim papirima","Obveze po izdanim vrijednosnim papirima"
"2120","Obveze po izdanim komercijalnim zapisima","Obveze po izdanim komercijalnim zapisima"
"2121","Obveze po izdanim obveznicama","Obveze po izdanim obveznicama"
"2122","Obveze po izdanim zadužnicama","Obveze po izdanim zadužnicama"
"2123","Obveze po ostalim kratkoročnim vrijednosnim papirima","Obveze po ostalim kratkoročnim vrijednosnim papirima"
"2128","Obveze za kamate sadržane u vrijed. papirima","Obveze za kamate sadržane u vrijed. papirima"
"213","Obveze prema poduzetnicima u kojima postoje sudjelujući interesi (do 20% udjela)","Obveze prema poduzetnicima u kojima postoje sudjelujući interesi (do 20% udjela)"
"214","Obveze s osnove zajmova, depozita i sl.","Obveze s osnove zajmova, depozita i sl."
"2140","Obveze za financijske zajmove od društava","Obveze za financijske zajmove od društava"
"2141","Obveze za zajmove od ustanova, zadruga i sl.","Obveze za zajmove od ustanova, zadruga i sl."
"2142","Obveze za kratkoročne zajmove iz inozemstva","Obveze za kratkoročne zajmove iz inozemstva"
"2143","Obveze za dio dospjelih dugoročnih zajmova koji se trebaju platiti u roku 12 mj.","Obveze za dio dospjelih dugoročnih zajmova koji se trebaju platiti u roku 12 mj."
"2144","Obveze za zajmove prema građanima","Obveze za zajmove prema građanima"
"2145","Obveze za zajmove članova društva","Obveze za zajmove članova društva"
"2146","Obveze po kontokorentnom računu","Obveze po kontokorentnom računu"
"2147","Obveze za depozite, jamčevine i kapare","Obveze za depozite, jamčevine i kapare"
"2148","Obveze za kaucije","Obveze za kaucije"
"2149","Ostali kratkoročni zajmovi i sl.","Ostali kratkoročni zajmovi i sl."
"215","Obveze prema bankama i drugim financijskim institucijama","Obveze prema bankama i drugim financijskim institucijama"
"2150","Obveze za kratkoročne kredite u banci (analitika po bankama a unutar banke po ugovorima o kreditu)","Obveze za kratkoročne kredite u banci (analitika po bankama a unutar banke po ugovorima o kreditu)"
"2151","Obveze za kratkoročne kredite u osiguravajućim društvima (analitika po društvima i kreditima)","Obveze za kratkoročne kredite u osiguravajućim društvima (analitika po društvima i kreditima)"
"2152","Obveze prema ostalim kreditnim institucijama (štedionicama, mirovinskom fondu i dr.)","Obveze prema ostalim kreditnim institucijama (štedionicama, mirovinskom fondu i dr.)"
"2153","Obveze prema kreditnim institucijama i bankama u inozemstvu","Obveze prema kreditnim institucijama i bankama u inozemstvu"
"2154","Obveze prema bankama po naplaćenim garancijama","Obveze prema bankama po naplaćenim garancijama"
"2155","Obveze po isplaćenom akreditivu","Obveze po isplaćenom akreditivu"
"2156","Obveze za prekoračenje na računu (okvirni kredit)","Obveze za prekoračenje na računu (okvirni kredit)"
"2157","Obveze za kamate prema bankama","Obveze za kamate prema bankama"
"2158","Obveze za kamate prema financ. institucijama","Obveze za kamate prema financ. institucijama"
"2159","Ostale obveze prema kreditnim institucijama","Ostale obveze prema kreditnim institucijama"
"216","Obveze prema izdavateljima kreditnih kartica (analitika prema kartičarima)","Obveze prema izdavateljima kreditnih kartica (analitika prema kartičarima)"
